Visitor/Neutral,PTS,Home/Neutral,PTS
Portland Trail Blazers,117,Oklahoma City Thunder,106
Orlando Magic,99,Dallas Mavericks,114
Sacramento Kings,86,Los Angeles Lakers,99
Dallas Mavericks,115,Charlotte Hornets,111
Miami Heat,114,Indiana Pacers,106
Utah Jazz,107,Washington Wizards,104
Detroit Pistons,114,Brooklyn Nets,80
Chicago Bulls,122,New York Knicks,119
Portland Trail Blazers,112,Houston Rockets,121
New Orleans Pelicans,102,Memphis Grizzlies,105
Orlando Magic,103,Milwaukee Bucks,110
Oklahoma City Thunder,88,Minnesota Timberwolves,104
Atlanta Hawks,110,Denver Nuggets,97
Los Angeles Clippers,125,Golden State Warriors,106
Boston Celtics,114,Philadelphia 76ers,103
Cleveland Cavaliers,99,Toronto Raptors,133
Los Angeles Clippers,121,Sacramento Kings,115
San Antonio Spurs,81,Los Angeles Lakers,93
Utah Jazz,88,Charlotte Hornets,99
Cleveland Cavaliers,95,Indiana Pacers,97
Orlando Magic,119,Washington Wizards,125
Brooklyn Nets,110,Atlanta Hawks,105
Golden State Warriors,108,Milwaukee Bucks,94
New York Knicks,108,Minnesota Timberwolves,118
Portland Trail Blazers,113,New Orleans Pelicans,119
Memphis Grizzlies,78,Denver Nuggets,87
Houston Rockets,112,Phoenix Suns,95
